Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.167395896687544,0.00250976078833724,0.543315595110866,0,0,0,93.3978584806246,3.61638219426436,-0.00828065366308704,-0.0176863930033202,20.7970360741066,-0.00539211648739577,22.6877144035232,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/base_link.STL,,00000-X06-0000-20240725（完整外形06高）(2)-1/military_vehicle_base_-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_left_link,-7.46974191773422E-06,-1.19482287440319E-05,-0.000179990931993168,0,0,0,15.6836783021962,0.874311017288933,0.000347169705029457,-2.19352232917206E-05,0.874488490062182,1.82797234968378E-05,1.49279585199495,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/fr_left_link.STL,0,0,0,1,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/fr_left_link.STL,,00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41100-X06-0000-1/41121-X06-0001-1;00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41100-X06-0000-1/41101-X06-0000-1,fr_left_wheel,fr,fr_left_joint,continuous,1.0200000000049,0.719999946875,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,-1,,,,,,,,,,,,
fr_right_link,-7.40835438473531E-06,1.18145932097649E-05,0.000236009103067758,0,0,0,15.6836779846589,0.87417041937025,-0.000259006018623985,9.2937751485304E-06,0.874558081192973,3.83172363672905E-05,1.4927248601265,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/fr_right_link.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/fr_right_link.STL,,00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41200-X06-0000-1/41121-X06-0001_Duplicated_78-1;00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41200-X06-0000-1/41101-X06-0000_Duplicated_77-1,fr_right_wheel,fr,fr_right_joint,continuous,1.02000000099569,-0.7201500331829,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,-1,,,,,,,,,,,,
mid_left_link,-7.48314283931103E-06,-1.19373280806911E-05,-0.000179991717028982,0,0,0,15.6836802548913,0.874310982727273,0.000347230189145692,-2.19508083857864E-05,0.874488723641317,1.82715067770737E-05,1.49279603559854,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/mid_left_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/mid_left_link.STL,,00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41100-X06-0000-2/41101-X06-0000-1;00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41100-X06-0000-2/41121-X06-0001-1,mid_left_wheel,mid,mid_left_joint,continuous,0,0.719999946875,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,-1,,,,,,,,,,,,
mid_right_link,-7.39936940025315E-06,1.17858413219984E-05,0.000236016709631359,0,0,0,15.6836785314311,0.8741704426353,-0.000259083324030287,9.28509037303237E-06,0.874558158701316,3.83126056266996E-05,1.49272492625053,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/mid_right_link.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/mid_right_link.STL,,00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41200-X06-0000-2/41121-X06-0001_Duplicated_78-1;00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41200-X06-0000-2/41101-X06-0000_Duplicated_77-1,mid_right_wheel,mid,mid_right_joint,continuous,0,-0.7201500331829,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,-1,,,,,,,,,,,,
re_left_link,-7.43506353266857E-06,-1.19494825225885E-05,-0.000179985707534747,0,0,0,15.6836782310983,0.874310873270932,0.000347231029777594,-2.19579762920221E-05,0.87448867819917,1.82617349957619E-05,1.492795851782,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/re_left_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/re_left_link.STL,,00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41100-X06-0000-3/41101-X06-0000-1;00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41100-X06-0000-3/41121-X06-0001-1,re_left_wheel,re,re_left_joint,continuous,-1.02,0.719999946875,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,-1,,,,,,,,,,,,
re_right_link,-7.40687126886166E-06,1.17729250144194E-05,0.000236014825648168,0,0,0,15.6836777442921,0.874170436345245,-0.000259194408570592,9.29280456193285E-06,0.874558114305502,3.83003270857082E-05,1.49272486005224,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/re_right_link.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/re_right_link.STL,,00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41200-X06-0000-3/41121-X06-0001_Duplicated_78-1;00000-X06-0000-20240725（完整外形06高）(2)-1/41000-X06-0000-1/41200-X06-0000-3/41101-X06-0000_Duplicated_77-1,re_right_wheel,re,re_right_joint,continuous,-1.01999999900801,-0.7201500331829,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,-1,,,,,,,,,,,,
M1_link,0.189311992238699,-0.00780975821322617,0.0304403534135942,0,0,0,0.182379159282172,0.0601792897752239,3.68389245599875E-06,-1.91981971038898E-06,0.00624313141365268,-1.01725117757533E-06,0.0604199696244955,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/M1_link.STL,1,1,1,1,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/M1_link.STL,,00000-X06-0000-20240725（完整外形06高）(2)-1/传感器总装-2/支架-1/rs_lidar_m1-1,M1_sensor,M1,M1_joint,fixed,0.828794444577641,0,1.65803698370154,0,0,0,base_link,0,0,0,,,,,,,,,,,,
ZED_link,-0.0193979346104415,2.17698212671742E-05,0.000203049311098713,0,0,0,0.16807951672626,0.000384913598088011,7.22943572804795E-09,9.58941056097699E-08,3.26812598821181E-05,1.16689245654961E-09,0.000392812082317333,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/ZED_link.STL,1,1,1,1,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/ZED_link.STL,,00000-X06-0000-20240725（完整外形06高）(2)-1/传感器总装-2/支架-1/zed2i_view-1/zed2i-1,ZED_sensor,ZED,ZED_joint,fixed,0.900553079267527,0,1.73767616379679,0,0,0,base_link,0,0,0,,,,,,,,,,,,
IMU_link,-0.00201732233979521,-0.00773842436009968,0.000686469708683912,0,0,0,0.00544960785791132,4.66070990345166E-07,-2.33208488660251E-09,1.2931476622232E-08,3.43737275791415E-07,-1.46113385306212E-09,7.42903804634427E-07,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/IMU_link.STL,1,1,1,1,0,0,0,0,0,0,package://lynx_vehicle_description/meshes/IMU_link.STL,,00000-X06-0000-20240725（完整外形06高）(2)-1/传感器总装-2/支架-1/装配体1^支架-1/复件 复件 TransducerM_TM431_3D-Shape_V1-1^装配体1_支架-1,IMU_sensor,IMU,IMU_joint,fixed,0.803059303957121,0.00774044003851427,1.74459522104739,0,0,0,base_link,0,0,0,,,,,,,,,,,,
